DateAdded,QtrYrcompleted,Company,Suffix,Name,AcceptedFIGI,HasSOR2599,HasaDedicatedFeed,HasanOpenFIGI.comaccount,Contact Source,Address,City,State,Postal Code,Country,Region,ClientType,Division,Role,Phone #,Cell Phone #,E-mail address(es) - in order,UsingFIGI,Bloomberg Rep(s),BloombergProduct,Notes,Access 1,Access 2,Access 3,UsageofData,UseCase1,UseCase23,Competitive ID,PR Effort
2/1/2010,Q1 2010,Company 1a,not available,,No Info Available,Cannot Find,No,No Info Available,No Source,Address 1,City 1,--,12345,Spain,Western Europe,--,--,not available,7701234567,4041234567,ofihsdg@email1.com,--,not specified,--,type any notes here,--,--,--,use as primary key,--,--,--,--
2/1/2010,Q1 2010,Company 1b,Mr.,Name 1,No Info Available,Cannot Find,No,No Info Available,No Source,Address 2,City 2,--,12345,Switzerland,Western Europe,--,--,not available,7701234567,4041234567,sdggh@email1.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
10/8/2010,Q4 2010,Company 1c,Mr.,Name 2,No Info Available,34569847,No,No Info Available,No Source,Address 3,City 3,--,12345,United Kingdom (UK),Western Europe,--,--,not available,7701234567,4041234567,dfhdf@email1.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
10/13/2010,Q4 2010,Company 1d,Mr.,Name 3,No Info Available,34569847,No,No Info Available,No Source,Address 4,City 4,DE,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,dfgdfg@email1.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
10/27/2010,Q4 2010,Company 5,Mr.,Name 4,No Info Available,34569847,No,No Info Available,No Source,Address 5,City 5,CA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
10/29/2010,Q4 2010,Company 6,Mr.,Name 5,Accepted,34569847,No,No Info Available,No Source,Address 6,City 6,CT,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,John Jacob,--,type any notes here,--,--,--,--,--,--,--,--
11/2/2010,Q4 2010,Company 7,Ms.,Name 6,No Info Available,34569847,No,No Info Available,No Source,Address 7,City 7,CA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,use along with terminal data,--,--,--,--
11/4/2010,Q4 2010,Company 8,Mr.,Name 7,No Info Available,34569847,No,No Info Available,No Source,Address 8,City 8,--,12345,Netherlands,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,signed up for symbology backoffice files ,--,--,--,--
11/4/2010,Q4 2010,Company 9,Ms.,Name 8,No Info Available,34569847,No,No Info Available,No Source,Address 9,City 9,MA,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,want a way to easily link data from feeds from multiple sources ,--,--,--,--
11/5/2010,Q4 2010,Company 10,Ms.,Name 9,Accepted,34569847,No,No Info Available,No Source,Address 10,City 10,IL,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,not specified,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
11/5/2010,Q4 2010,Company 11,Mr.,Name 10,Accepted,34569847,No,No Info Available,No Source,Address 11,City 11,CT,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Leslie Knope,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
11/8/2010,Q4 2010,Company 12,Ms.,Name 11,Accepted,34569847,No,Derivatives,No Source,Address 12,City 12,IL,12345,United States of America (USA),North America,3rd Party/Vendor,--,not available,7701234567,4041234567,abcde@email.com,Yes,Tom Brady,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
11/8/2010,Q4 2010,Company 13,Ms.,Name 12,Accepted,34569847,No,No Info Available,No Source,Address 13,City 13,IL,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,Tom Brady,Data License Back-Office,type any notes here,--,--,--,--,--,--,--,--
11/9/2010,Q4 2010,Company 14,Ms.,Name 13,No Info Available,34569847,No,No Info Available,No Source,Address 14,City 14,IL,12345,United States of America (USA),North America,Exchange,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
11/9/2010,Q4 2010,Company 15,not available,Name 14,Accepted,34569847,No,No Info Available,No Source,Address 15,City 15,--,12345,Finland,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,Yes,The Queen,Data License Per-Security,type any notes here,--,--,--,--,--,--,--,--
11/9/2010,Q4 2010,Company 16,Mr.,Name 15,No Info Available,34569847,No,No Info Available,No Source,Address 16,City 16,NY,12345,United States of America (USA),North America,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
11/10/2010,Q4 2010,Company 17,not available,Name 16,Accepted,34569847,No,No Info Available,No Source,Address 17,City 17,--,12345,LUXEMBOURG,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,The Queen,--,type any notes here,--,--,--,--,--,--,--,--
11/10/2010,Q4 2010,Company 18,Mr.,Name 17,No Info Available,34569847,No,No Info Available,No Source,Address 18,City 18,--,12345,Portugal,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
11/11/2010,Q4 2010,Company 19,Mr.,Name 18,Accepted,34569847,No,No Info Available,No Source,Address 19,City 19,--,12345,LUXEMBOURG,Western Europe,--,--,not available,7701234567,4041234567,abcde@email.com,--,not specified,--,type any notes here,--,--,--,--,--,--,--,--
