"id","dateAdded","qtr&Yrcompleted","companyName","divisionName","usertypeName","datausageName","openFIGI","clienttypeName","address","city","state","countryName","zipcode","regionName","contactName","email","phone","bloombergRep","SORNumber","notes","latest_update"
1,"0000-00-00","2014Q4","Twitterwire","TECHNOLOGY","OPENFIGI.COM-SEARCH_FUNCTIONALITY_ONLY","REDISTRIBUTION_OF_FIGI","","REGULATOR","95815 Welch Trail","Dallas","Texas","United States",39374,"LATIN_AMERICA_&_CARIBBEAN","Lois Cooper","aburton0@artisteer.com","1-(214)378-0793","Andrea Burton",446248,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",""
2,"0000-00-00","2015Q1","Aibox","BUY_SIDE-ASSET_MANAGER","DEDICATED_FEED","REQUEST_DATA","","EXCHANGE","333 Cascade Alley","Washington","District of Columbia","United States",22381,"WESTERN_EUROPE","Diane Brooks","hbowman1@delicious.com","1-(202)785-9133","Harry Bowman",994166,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",""
3,"0000-00-00","2016Q4","Zoomcast","FUND_SERVICE_PROVIDER","DL_BACKOFFICE","MAP_CONTENT_FROM_MULTIPLE_VENDORS","","REGULATOR","662 Carpenter Road","Daytona Beach","Florida","United States",26876,"NORTH_AMERICA","Kathleen Russell","amartinez2@acquirethisname.com","1-(386)419-8895","Alan Martinez",811070,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",""
4,"0000-00-00","2016Q1","Realmix","OUTSOURCING","BPIPE/BPOD","MGMT_OF_MULTIPLE_SECURITY_MASTERS","","EXCHANGE","31979 Center Junction","San Francisco","California","United States",17674,"WESTERN_EUROPE","Martha Watson","smurphy3@buzzfeed.com","1-(415)289-3792","Susan Murphy",672748,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",""
5,"0000-00-00","2016Q1","Pixoboo","BUY_SIDE-HEDGE_FUND","OPENFIGI.COM-SEARCH_FUNCTIONALITY_ONLY","STORE_AS_REFERENCE_DATA","","EXCHANGE","17 Pleasure Place","Pittsburgh","Pennsylvania","United States",63169,"NOT_AVAILABLE","Peter Nguyen","jtorres4@spotify.com","1-(412)609-4593","Johnny Torres",609149,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",""
6,"0000-00-00","2016Q1","Digitube","OUTSOURCING","OPENFIGI.COM-FIXED_INCOME","REDISTRIBUTION_OF_FIGI","","TRUSTEE","98024 Glacier Hill Center","Hartford","Connecticut","United States",14454,"LATIN_AMERICA_&_CARIBBEAN","Alice Weaver","jarnold5@devhub.com","1-(860)320-3121","Judith Arnold",445971,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",""
7,"0000-00-00","2015Q2","Voonder","LEGAL","NA","AVAILABLE_TO_USERS_UPON_REQUEST","","THIRD_PARTY","81 Caliangt Crossing","Lincoln","Nebraska","United States",57611,"NORTH_AMERICA","Antonio Howard","eramirez6@ask.com","1-(402)797-9206","Earl Ramirez",745707,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",""
8,"0000-00-00","2016Q3","Gabvine","OUTSOURCING","OPENFIGI.COM-DERIVATIVES","REQUEST_DATA","","REGULATOR","5120 Anhalt Way","Chattanooga","Tennessee","United States",82133,"NOT_AVAILABLE","Anthony Greene","ecole7@bloglines.com","1-(423)619-8942","Elizabeth Cole",116867,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",""
9,"0000-00-00","2014Q2","Browsetype","BUY_SIDE-INSURANCE","DL_BACKOFFICE","REQUEST_DATA","","EXCHANGE","2 Kim Way","Santa Monica","California","United States",29828,"WESTERN_EUROPE","William Foster","dcastillo8@freewebs.com","1-(310)786-5582","Doris Castillo",918274,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",""
10,"0000-00-00","2014Q1","Skyba","SELL_SIDE-CAPITAL_MARKETS","DEDICATED_FEED","STORE_AS_REFERENCE_DATA","","THIRD_PARTY","96 Barby Circle","Columbus","Ohio","United States",84959,"LATIN_AMERICA_&_CARIBBEAN","Laura Cruz","ewallace9@google.ru","1-(614)252-4198","Eugene Wallace",124926,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",""
